Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,wiki_description
919,Austerity Measures During Crisis,-,-,2010,Spain,Economic Policy,Spain,"Addressed economic crisis, led to social unrest",Spanish population,"Spanish Government, EU",Negative,
920,No-Confidence Vote Against Rajoy,1,June,2018,Spain,Political,Spain,"Led to the fall of Rajoy's government, Pedro Sánchez becomes Prime Minister",Spanish population,Spanish Parliament,Mixed,
921,Discovery of Altamira Cave Paintings,-,-,1879,Spain,Archaeological Discovery,Altamira,Revealed prehistoric human presence in Europe,"Academic community, worldwide",Marcelino Sanz de Sautuola,Positive,
922,Spanish Flu Pandemic,-,-,1918,Spain,Health Crisis,Worldwide,One of the deadliest pandemics in human history,Global population,H1N1 influenza virus,Negative,"The 1918–1920 flu pandemic, also known as the Great Influenza epidemic or by the common misnomer Spanish flu, was an exceptionally deadly global influenza pandemic caused by the H1N1 subtype of the influenza A virus. The earliest documented case was March 1918 in Kansas, United States, with further cases recorded in France, Germany and the United Kingdom in April. Two years later, nearly a third of the global population, or an estimated 500 million people, had been infected."
923,Alhambra Decree,31,March,1492,Spain,Religious Policy,Granada,Expulsion of the Jews from Spain,Jewish population in Spain,Catholic Monarchs,Negative,"The Alhambra Decree was an edict issued on 31 March 1492 by the joint Catholic Monarchs of Spain, Isabella I of Castile and Ferdinand II of Aragon, ordering the expulsion of practising Jews from the Crowns of Castile and Aragon and its territories and possessions by 31 July of that year. Its primary purpose was to eliminate the influence of practising Jews on Spain's large formerly-Jewish converso New Christian population, to ensure the latter and their descendants did not revert to Judaism. Over half of Spain's Jews had converted as a result of the religious persecution and pogroms which occurred in 1391."
924,Spanish Constitution of 1978,6,December,1978,Spain,Political,Spain,Established modern democratic constitution,Spanish population,"Spanish Government, King Juan Carlos I",Positive,The Spanish Constitution is the supreme law of the Kingdom of Spain. It was enacted after its approval in 1978 in a constitutional referendum; it represents the culmination of the Spanish transition to democracy.
925,2010 FIFA World Cup Victory,11,July,2010,South Africa,Sports,Johannesburg,"First World Cup win, boosted national pride","Spanish population, international",Spanish National Football Team,Positive,
926,Launch of AVE High-Speed Train,21,April,1992,Spain,Infrastructure,Between Madrid-Seville,Modernized Spain's transport system,"Spanish population, travelers",Spanish Government,Positive,
927,Law of Historical Memory,26,December,2007,Spain,Legislation,Spain,"Addressed the legacy of Franco's regime, civil war victims",Spanish population,Spanish Government,Positive,"Law 52/2007, commonly known as Historical Memory Law, recognises and broadens ""the rights and establishes measures in favour of those who suffered persecution or violence during the civil war and the dictatorship."" It was passed by the Congress of Deputies on 31 October 2007, on the basis of a bill proposed by the PSOE government of Prime Minister José Luis Rodríguez Zapatero. The Historical Memory Law principally recognizes the victims on both sides of the Spanish Civil War, gives rights to the victims and the descendants of victims of the Civil War and of the subsequent dictatorship, and formally condemns the repressions of the Franco regime."
928,Sinking of the Spanish Armada,8,August,1588,England,Naval Engagement,English Channel,Marked decline of Spanish naval supremacy,"Spanish Navy, English Navy","Philip II of Spain, Elizabeth I of England",Negative,
929,The Great Siege of Gibraltar,24,June,1779,Gibraltar,Military Siege,Gibraltar,Failed Spanish attempt to retake Gibraltar from Britain,"British and Spanish military, Gibraltar residents","Spanish and French forces, British defenders",Negative,
930,Leyes de Indias,-,-,1542,Spain,Colonial Legislation,Spanish America,Regulated the treatment of indigenous peoples in the Spanish Empire,"Indigenous populations, Spanish colonists",Spanish Crown,Mixed,"The Laws of the Indies are the entire body of laws issued by the Spanish Crown in 1573 for the American and the Asian possessions of its empire. They regulated social, political, religious, and economic life in these areas. The laws are composed of myriad decrees issued over the centuries and the important laws of the 16th century, which attempted to regulate the interactions between the settlers and natives, such as the Laws of Burgos (1512) and the New Laws (1542)."
935,Introduction of Phoenician Trade,-,-,1100 BC,Spain,Economic/Cultural,Gadir (Cádiz),"Early Phoenician traders establish contacts, leading to cultural and economic exchanges","Local inhabitants, Phoenicians",Phoenician traders,Positive,
936,Battle of Guadalete,-,-,711,Spain,Military Conquest,Guadalete River,Marked the beginning of Muslim rule in the Iberian Peninsula,"Visigothic Kingdom, Muslims","Tariq ibn Ziyad, King Roderic",Negative,"The Battle of Guadalete was the first major battle of the Muslim conquest of the Iberian Peninsula, fought in 711 at an unidentified location in what is now southern Spain between the Visigoths under their king, Roderic, and the invading forces of the Umayyad Caliphate, composed mainly of Berbers and some Arabs under the commander Tariq ibn Ziyad. The battle was significant as the culmination of a series of Berber attacks and the beginning of al-Andalus. Roderic was killed in the battle, along with many members of the Visigothic nobility, opening the way for the capture of the Visigothic capital of Toledo."
940,Establishment of Gadir by Phoenicians,-,-,1100 BC,Spain,Colonial Settlement,Gadir (Cádiz),One of the oldest continuously inhabited cities in Western Europe,"Local inhabitants, Phoenicians",Phoenician traders,Positive,
941,Gorm the Old Reign,-,-,940,Denmark,Monarchical,Denmark,"Established the Danish monarchy, unified Denmark.",Danish tribes,Gorm the Old,Positive,
942,Christianization of Denmark,-,-,960,Denmark,Religious,Denmark,Introduction and establishment of Christianity.,Danish population,Harald Bluetooth,Mixed,"The Christianization of Scandinavia, as well as other Nordic countries and the Baltic countries, took place between the 8th and the 12th centuries. The realms of Denmark, Norway and Sweden established their own archdioceses, responsible directly to the pope, in 1104, 1154 and 1164, respectively. The conversion to Christianity of the Scandinavian people required more time, since it took additional efforts to establish a network of churches."
944,Christianization of Norway,-,-,1000,Norway,Religious,Norway,Introduction and establishment of Christianity.,Norwegian tribes,"Olaf Tryggvason, St. Olaf",Mixed,"The Christianization of Scandinavia, as well as other Nordic countries and the Baltic countries, took place between the 8th and the 12th centuries. The realms of Denmark, Norway and Sweden established their own archdioceses, responsible directly to the pope, in 1104, 1154 and 1164, respectively. The conversion to Christianity of the Scandinavian people required more time, since it took additional efforts to establish a network of churches."
945,Swedish Conquest of Finland,-,-,1150,Finland,Military,Finland,Brought Finland under Swedish rule.,Finnish tribes,Swedish Kingdom,Negative,
946,Establishment of the Kalmar Union,-,-,1397,Denmark,Political Union,"Kalmar, Sweden",United the Nordic countries under a single monarch.,Scandinavian kingdoms,Margaret I,Mixed,
947,Black Death in Norway,-,-,1349,Norway,Pandemic,Norway,"Decimated the population, leading to societal shifts.",Norwegian population,-,Negative,The Black Death was present in Norway between 1349 and 1350.
948,Establishment as Swedish Duchy,-,-,1362,Finland,Administrative,Finland,Formalized Finnish inclusion in the Swedish Kingdom.,Finns,Swedish Crown,Mixed,
949,Treaty of Roskilde,26,February,1658,Denmark,Peace Treaty,Roskilde,Denmark ceded significant territories to Sweden.,Danish-Swedish populations,Frederick III of Denmark,Negative,"The Treaty of Roskilde was negotiated at Høje Taastrup Church and was concluded on 26 February (OS) or 8 March 1658 (NS) during the Second Northern War between Frederick III of Denmark–Norway and Karl X Gustav of Sweden in the Danish city of Roskilde. After a devastating defeat, Denmark–Norway was forced to give up a third of its territory to save the rest, the ceded lands comprising Blekinge, Bornholm, Bohuslän, Scania and Trøndelag, as well as Halland."
950,Dissolution of the Kalmar Union,-,-,1814,Norway,Political Separation,Norway,Led to the establishment of a separate Norwegian kingdom.,Norwegians,Christian Frederick,Positive,
951,Finnish War and Cession to Russia,-,-,1809,Finland,Military,Finland,"Finland ceded from Sweden to Russia, becoming a Grand Duchy.","Finns, Swedes, Russians",Alexander I of Russia,Negative,
952,Winter War,-,-,1939,Finland,Military,Finland,Resisted Soviet invasion,Finns,Soviet Union,Mixed,"The Winter War was a war between the Soviet Union and Finland. It began with a Soviet invasion of Finland on 30 November 1939, three months after the outbreak of World War II, and ended three and a half months later with the Moscow Peace Treaty on 13 March 1940. Despite superior military strength, especially in tanks and aircraft, the Soviet Union suffered severe losses and initially made little headway."
953,Liberation of Denmark,5,May,1945,Denmark,Military,Denmark,End of German occupation during WWII.,Danes,Allied Forces,Positive,"On 4 May 1945, at 18:30 British Double Summer Time, at Lüneburg Heath, south of Hamburg, British Field Marshal Sir Bernard Montgomery accepted the unconditional surrender of the German forces in the Netherlands, northwest Germany including all islands, in Denmark and all naval ships in those areas. The surrender preceded the end of World War II in Europe and was signed in a carpeted tent at Montgomery's headquarters on the Timeloberg hill at Wendisch Evern."
954,Liberation of Norway,8,May,1945,Norway,Military,Norway,End of German occupation during WWII.,Norwegians,Allied Forces,Positive,"The occupation of Norway by Nazi Germany during the Second World War began on 9 April 1940 after Operation Weserübung. Conventional armed resistance to the German invasion ended on 10 June 1940, and Nazi Germany controlled Norway until the capitulation of German forces in Europe on 8 May 1945. Throughout this period, a pro-German government named Den nasjonale regjering ruled Norway, while the Norwegian king Haakon VII and the prewar government escaped to London, where they formed a government in exile."
955,Continuation War,-,-,1941,Finland,Military,Finland,Fought against the Soviet Union,Soviet Union,Nazi Germany,Mixed,"The Continuation War, also known as the Second Soviet–Finnish War, was a conflict fought by Finland and Nazi Germany against the Soviet Union during World War II. It began with a Finnish declaration of war on 25 June 1941 and ended on 19 September 1944 with the Moscow Armistice. The Soviet Union and Finland had previously fought the Winter War from 1939 to 1940, which ended with the Soviet failure to conquer Finland and the Moscow Peace Treaty."
956,Copenhagen Fire,-,-,1728,Denmark,Disaster,Copenhagen,Devastated large parts of Copenhagen.,Danish population,-,Negative,
957,Union with Sweden,4,November,1814,Norway,Union,Norway,Entered a personal union with Sweden.,Norwegians,-,Mixed,
958,Lapland War,-,-,1944,Finland,Military,Lapland,Finland,German soldiers,Finnish Army,Positive,"During World War II, the Lapland War saw fighting between Finland and Nazi Germany – effectively from September to November 1944 – in Finland's northernmost region, Lapland. Though the Finns and the Germans had been fighting together against the Soviet Union since 1941 during the Continuation War (1941–1944), peace negotiations between the Finnish government and the Allies of World War II had been conducted intermittently during 1943–1944, but no agreement had been reached. The Moscow Armistice, signed on 19 September 1944, demanded that Finland break diplomatic ties with Germany and expel or disarm any German soldiers remaining in Finland."
959,First Schleswig War,-,-,1848,Denmark,Military,Schleswig,Danish victory preserved control over the duchies.,Danes,Germans,Positive,"The First Schleswig War, also known as the Schleswig-Holstein uprising and the Three Years' War, was a military conflict in southern Denmark and northern Germany rooted in the Schleswig–Holstein question: who should control the Duchies of Schleswig, Holstein and Lauenburg, which at the time were ruled by the king of Denmark in a personal union. Ultimately, the Danish side proved victorious with the diplomatic support of the great powers, especially Britain and Russia, since the duchies were close to an important Baltic seaway connecting both powers."
960,Norwegian Independence,7,June,1905,Norway,Independence,Norway,Dissolution of the union with Sweden,Norwegians,-,Positive,
961,Finnish Civil War,-,-,1918,Finland,Civil War,Finland,Conflict between Reds and Whites,Finns,-,Negative,"The Finnish Civil War was a civil war in Finland in 1918 fought for the leadership and control of the country between White Finland and the Finnish Socialist Workers' Republic during the country's transition from a grand duchy ruled by the Russian Empire to a fully independent state. The clashes took place in the context of the national, political, and social turmoil caused by World War I in Europe. The war was fought between the Red Guards, led by a section of the Social Democratic Party with backup of the Russian bolsheviks and the White Guards of the senate and those who opposed socialism, with major assistance by the German Imperial Army, along the German goal to control Fennoscandia."
962,Second Schleswig War,-,-,1864,Denmark,Military,Schleswig,Danish loss of Schleswig-Holstein to Prussia and Austria.,Danes,-,Negative,"The Second Schleswig War, also sometimes known as the Dano-Prussian War or Prusso-Danish War, was the second military conflict over the Schleswig–Holstein question of the nineteenth century. The war began on 1 February 1864, when Prussian and Austrian forces crossed the border into the Danish fief Schleswig. Denmark fought troops of the Kingdom of Prussia and the Austrian Empire representing the German Confederation."
963,Founding of Oslo,-,-,1048,Norway,Foundational,Oslo,Establishment of Oslo,Norwegians,Harald Hardrada,Positive,
964,Signing of the Treaty of Fredrikshamn,-,September,1809,Finland,Treaty,Fredrikshamn,Finland ceded from Sweden to Russia, Swedes,Alexander I of Russia,Negative,
969,Discovery of Diamonds,-,-,1867,South Africa,Economic,Kimberley,"Sparked the diamond rush, leading to economic boom.",South Africans,Erasmus Jacobs,Mixed,
970,Amalgamation of Northern and Southern Protectorates,-,-,1914,Nigeria,Political,Nigeria,Formation of the modern Nigerian state.,Nigerians,Lord Lugard,Mixed,
971,Mau Mau Uprising,-,-,1952,Kenya,Independence Movement,Kenya,Led to Kenyan independence from British rule.,Kenyans,"Mau Mau fighters, British colonial government",Mixed,"The Mau Mau rebellion (1952–1960), also known as the Mau Mau uprising, Mau Mau revolt, or Kenya Emergency, was a war in the British Kenya Colony (1920–1963) between the Kenya Land and Freedom Army (KLFA), also known as the Mau Mau, and the British authorities. Dominated by Kikuyu, Meru and Embu fighters, the KLFA also comprised units of Kamba and Maasai who fought against the European colonists in Kenya — the British Army, and the local Kenya Regiment."
972,Algerian War of Independence,-,-,1954,Algeria,War,Algeria,Led to Algerian independence from France.,Algerians,"FLN, French Government",Positive,"The Algerian War was an armed conflict between France and the Algerian National Liberation Front (FLN) from 1954 to 1962, which led to Algeria winning its independence from France. An important decolonization war, it was a complex conflict characterized by guerrilla warfare and war crimes. The conflict also became a civil war between the different communities and within the communities."
973,Italian Invasion of Libya,-,-,1911,Libya,Military Invasion,Libya,Beginning of Italian colonial rule.,Libyans,Kingdom of Italy,Negative,
974,Independence from France,20,March,1956,Tunisia,Independence,Tunisia,End of French colonial rule.,Tunisians,"Habib Bourguiba, French Government",Positive,
975,Great Zimbabwe Era,-,-,1450,Zimbabwe,Civilization,Great Zimbabwe,Development of a sophisticated urban and trading society.,Zimbabweans,-,Positive,
976,Foundation of Marrakech,-,-,1062,Morocco,City Foundation,Marrakech,Establishment of Marrakech as a major economic center.,Moroccans,Almoravid dynasty,Positive,
977,Portuguese Colonialism Begins,-,-,1482,Angola,Colonial,Angola,Start of Portuguese exploration and later colonization.,Angolans,Portuguese explorers,Negative,
978,Suez Canal Opening,17,November,1869,Egypt,Engineering Marvel,Suez Canal,"Connected the Mediterranean Sea to the Red Sea, boosting trade.",Global population,Ferdinand de Lesseps,Positive,
979,Rwandan Genocide,-,April,1994,Rwanda,Genocide,Rwanda,Mass slaughter of the Tutsi population.,Rwandans,"Hutu government officials, militias",Negative,"The Rwandan genocide, also known as the genocide against the Tutsi, occurred from 7 April to 19 July 1994 during the Rwandan Civil War. Over a span of around 100 days, members of the Tutsi ethnic group, as well as some moderate Hutu and Twa, were systematically killed by Hutu militias. While the Rwandan Constitution states that over 1 million people were killed, most scholarly estimates suggest between 500,000 and 662,000 Tutsi died, mostly men."
980,Idi Amin's Regime,-,-,1971,Uganda,Dictatorship,Uganda,"Brutal dictatorship, human rights abuses.",Ugandans,Idi Amin,Negative,
981,Somali Civil War Begins,-,-,1991,Somalia,Civil War,Somalia,Led to state collapse and ongoing conflict.,Somalis,"Various warlords, clans",Negative,
982,Independence from Britain,30,September,1966,Botswana,Independence,Botswana,Transition from British protectorate to independence.,Batswana,Seretse Khama,Positive,
983,Independence from South Africa,21,March,1990,Namibia,Independence,Namibia,End of South African rule and apartheid in Namibia.,Namibians,"SWAPO, United Nations",Positive,
984,Mahdist War,-,-,1881,Sudan,Religious/Military War,Sudan,Establishment of the Mahdist state in Sudan.,Sudanese,Muhammad Ahmad,Mixed,"The Mahdist War was fought between the Mahdist Sudanese, led by Muhammad Ahmad bin Abdullah, who had proclaimed himself the ""Mahdi"" of Islam, and the forces of the Khedivate of Egypt, initially, and later the forces of Britain. After four years, the Mahdist rebels overthrew the Ottoman-Egyptian administration with the fall of Khartoum and gained control over Sudan. The Mahdist State launched several unsuccessful invasions of their neighbours, expanding the scale of the conflict to also include the Italian Empire, the Congo Free State and the Ethiopian Empire."
985,Independence from France,7,August,1960,Côte d'Ivoire,Independence,Côte d'Ivoire,"End of French colonial rule, start of sovereignty.",Ivorians,Félix Houphouët-Boigny,Positive,
986,Ghana's Independence,6,March,1957,Ghana,Independence,Ghana,First Sub-Saharan African country to gain independence.,Ghanaians,Kwame Nkrumah,Positive,
987,Union of Tanganyika and Zanzibar,26,April,1964,Tanzania,Union,Tanzania,Formation of Tanzania through the union of two sovereign states.,Tanzanians,"Julius Nyerere, Abeid Amani Karume",Positive,"The modern-day African Great Lakes state of Tanzania dates formally from 1964, when it was formed out of the union of the much larger mainland territory of Tanganyika and the coastal archipelago of Zanzibar. The former was a colony and part of German East Africa from the 1880s to 1919 when, under the League of Nations, it became a British mandate. It served as a British mir II]], providing financial help, munitions, and soldiers."
988,Libyan Revolution (1969),1,September,1969,Libya,Coup d'état,Libya,"Overthrow of the monarchy, Muammar Gaddafi came to power.",Libyans,Muammar Gaddafi,Mixed,
989,Independence from France,26,June,1960,Madagascar,Independence,Madagascar,End of French colonial rule.,Malagasy,Philibert Tsiranana,Positive,
990,Ethiopian Revolution,12,September,1974,Ethiopia,Revolution,Ethiopia,"Overthrow of Emperor Haile Selassie, start of Derg regime.",Ethiopians,Derg,Negative,"The Ethiopian Revolution was a period of civil, police and military upheaval in Ethiopia to protest against the weakened Haile Selassie government. It is generally thought to have begun on 12 January 1974 when Ethiopian soldiers began a rebellion in Negele Borana, with the protests continuing into February 1974. People from different occupations, starting from junior army officers, students and teachers, and taxi drivers, joined a strike to demand human rights, social change, agrarian reforms, price controls, free schooling, and releasing political prisoners, and labor unions demanded a fixation of wages in accordance with price indexes, as well as pensions for workers, etc."
991,Nigerian Civil War,6,July,1967,Nigeria,Civil War,Nigeria,"Conflict over the secessionist state of Biafra, massive casualties.",Nigerians,"Yakubu Gowon, Odumegwu Ojukwu",Negative,"The Nigerian Civil War, also known as the Biafran War, Nigeria-Biafra War, or Biafra War, was fought between Nigeria and the Republic of Biafra, a secessionist state which had declared its independence from Nigeria in 1967. Nigeria was led by General Yakubu Gowon, and Biafra by Lieutenant Colonel Chukwuemeka ""Emeka"" Odumegwu Ojukwu. The conflict resulted from political, ethnic, cultural and religious tensions which preceded the United Kingdom's formal decolonisation of Nigeria from 1960 to 1963."
992,Sharpeville Massacre,21,March,1960,South Africa,Massacre,Sharpeville,"Anti-apartheid protest met with police violence, significant deaths.",South Africans,South African Police,Negative,"The Sharpeville massacre occurred on 21 March 1960, when police opened fire on a crowd of people who had assembled outside the police station in the township of Sharpeville in the then Transvaal Province of the then Union of South Africa to protest against the pass laws."
993,Battle of Algiers,-,-,1956,Algeria,Military Engagement,Algiers,Pivotal conflict in the Algerian War of Independence.,Algerians,"FLN, French paratroopers",Mixed,"Battle of Algiers or Algiers expedition may refer to:Capture of Algiers (1516), during the Ottoman–Habsburg wars
Algiers expedition (1516), during the Ottoman–Habsburg wars
Algiers expedition (1519), during the Ottoman–Habsburg wars
Capture of Peñón of Algiers (1529), during the Ottoman–Habsburg wars
Algiers expedition (1541), during the Ottoman–Habsburg wars
Algiers expedition (1567), during the Ottoman-Habsburg wars
Bombardment of Algiers (1682), during the Franco-Algerian war
Bombardment of Algiers (1683), during the Franco-Algerian war
Bombardment of Algiers (1688), during the Franco-Algerian war
Bombardment of Algiers (1770), during the Dano–Algerian War
Invasion of Algiers (1775), during the Spanish–Algerian War
Bombardment of Algiers (1783), during the Spanish–Algerian War
Bombardment of Algiers (1784), during the Spanish–Algerian War
Bombardment of Algiers (1816), during the Barbary slave trade
Invasion of Algiers (1830), during the French conquest of Algeria
Raid on Algiers, during World War II
Battle of Algiers, during World War II
Battle of Algiers (1956–1957), during the Algerian War
The Battle of Algiers, a 1966 Italian-Algerian film about the battle

."
994,Independence from Portugal,25,June,1975,Mozambique,Independence,Mozambique,End of Portuguese colonial rule after a protracted liberation struggle.,Mozambicans,FRELIMO,Positive,
995,Independence from Britain,24,October,1964,Zambia,Independence,Zambia,"Gained sovereignty, ending British colonial rule.",Zambians,Kenneth Kaunda,Positive,
996,Independence from France,4,April,1960,Senegal,Independence,Senegal,Gained independence along with the Mali Federation.,Senegalese,Léopold Sédar Senghor,Positive,
997,Independence from Belgium,30,June,1960,Congo (DRC),Independence,Congo (DRC),"End of Belgian colonial rule, beginning of post-colonial challenges.",Congolese,Patrice Lumumba,Mixed,
998,Independence from Britain,27,April,1961,Sierra Leone,Independence,Sierra Leone,Transition to sovereignty after British rule.,Sierra Leoneans,Milton Margai,Positive,
999,Independence from France,22,September,1960,Mali,Independence,Mali,Gained independence as part of the Mali Federation.,Malians,Modibo Keïta,Positive,
1000,August Revolution,4,August,1983,Burkina Faso,Revolution,Burkina Faso,"Thomas Sankara came to power, initiating radical reforms.",Burkinabè,Thomas Sankara,Positive,"The August Revolution, also known as the August General Uprising, was a revolution caused by the Việt Minh against the Empire of Vietnam from 16 August to 2 September 1945. The Empire of Vietnam was led by the Nguyễn dynasty and was a puppet state of Japan within the Greater East Asia Co-Prosperity Sphere. The Việt Minh, a political league de facto led by the Communist Party, was created in 1941 and designed to appeal to a wider population than the communists could command."
1001,Independence from Britain,18,April,1980,Zimbabwe,Independence,Zimbabwe,Marked the end of Rhodesian rule and the beginning of majority rule.,Zimbabweans,Robert Mugabe,Positive,
1002,Egyptian Revolution of 1952,23,July,1952,Egypt,Revolution,Egypt,"Overthrow of the monarchy, establishment of a republic.",Egyptians,Free Officers Movement,Positive,"The Egyptian revolution of 1952, also known as the 1952 coup d'état and 23 July Revolution, was a period of profound political, economic, and societal change in Egypt. On 23 July 1952, the revolution began with the toppling of King Farouk in a coup d'état by the Free Officers Movement, a group of army officers led by Mohamed Naguib and Gamal Abdel Nasser. It ushered in a wave of revolutionary politics in the Arab world, and contributed to the escalation of decolonization, and the development of Third World solidarity during the Cold War."
1003,Independence from Britain,12,December,1963,Kenya,Independence,Kenya,"End of British colonial rule, Jomo Kenyatta became president.",Kenyans,Jomo Kenyatta,Positive,
1004,Independence from France,1,January,1960,Cameroon,Independence,Cameroon,Gained independence from French administration.,Cameroonians,Ahmadou Ahidjo,Positive,
1005,Independence from Ethiopia,24,May,1993,Eritrea,Independence,Eritrea,"Achieved de facto independence after a 30-year war, followed by a UN-supervised referendum.",Eritreans,"EPLF, UN",Positive,
1006,Nelson Mandela's Release from Prison,11,February,1990,South Africa,Political,South Africa,Marked the beginning of the end of apartheid.,South Africans,"F.W. de Klerk, ANC",Positive,
1007,Signing of Arusha Accords,4,August,1993,Rwanda,Peace Agreement,"Arusha, Tanzania",Attempted to end the Rwandan Civil War.,Rwandans,"Rwandan Government, RPF",Mixed,
1008,Comprehensive Peace Agreement,9,January,2005,Sudan,Peace Agreement,Sudan,"Ended the Second Sudanese Civil War, led to South Sudan's independence.","Sudanese, South Sudanese","SPLM, Government of Sudan",Positive,"The Comprehensive Peace Agreement, also known as the Naivasha Agreement, was an accord signed on 9 January 2005, by the Sudan People's Liberation Movement (SPLM) and the Government of Sudan. The CPA was meant to end the Second Sudanese Civil War, develop democratic governance countrywide, and share oil revenues. It also set a timetable for a Southern Sudanese independence referendum."
1009,Libyan Civil War,17,February,2011,Libya,Civil War,Libya,Overthrow of Muammar Gaddafi's regime.,Libyans,"NTC, NATO, Gaddafi regime",Mixed,"The Libyan crisis is the current humanitarian crisis and political-military instability occurring in Libya, beginning with the Arab Spring protests of 2011, which led to two civil wars, foreign military intervention, and the ousting and death of Muammar Gaddafi. The first civil war's aftermath and proliferation of armed groups led to violence and instability across the country, which erupted into renewed civil war in 2014. The second war lasted until October 23, 2020, when all parties agreed to a permanent ceasefire and negotiations."
1010,Independence from Britain,1,October,1960,Nigeria,Independence,Nigeria,"Gained independence, became a republic in 1963.",Nigerians,Nigerian Independence Movement,Positive,
1011,Dahomey (Benin) Independence,1,August,1960,Benin,Independence,Benin (Dahomey),Transition from French colonial rule to sovereignty.,Beninese,Hubert Maga,Positive,
1012,Tunisian Revolution,18,December,2010,Tunisia,Revolution,Tunisia,"Triggered the Arab Spring, leading to democratization.",Tunisians,"Mohamed Bouazizi, Civil Society",Positive,"The Tunisian revolution, also called the Jasmine Revolution and Tunisian Revolution of Dignity, was an intensive 28-day campaign of civil resistance. It included a series of street demonstrations which took place in Tunisia, and led to the ousting of longtime dictator Zine El Abidine Ben Ali in January 2011. It eventually led to a thorough democratization of the country and to free and democratic elections, which had led to people believing it was the only successful movement in the Arab Spring."
1013,Abolition of Slavery,6,August,1981,Mauritania,Legal,Mauritania,"First country in the world to abolish slavery by law, though enforcement issues remain.",Mauritanians,Mauritanian Government,Positive,"Abolitionism, or the abolitionist movement, is the political movement to end slavery and liberate enslaved individuals around the world."
1014,Independence from France,17,August,1960,Gabon,Independence,Gabon,End of French colonial rule.,Gabonese,Léon M'ba,Positive,
1015,Independence from Britain,4,October,1966,Lesotho,Independence,Lesotho,Transition from British protectorate to independent kingdom.,Basotho,Moshoeshoe II,Positive,
1016,Independence from Britain,18,February,1965,Gambia,Independence,Gambia,Gained independence within the Commonwealth.,Gambians,Dawda Jawara,Positive,
1017,Independence from France,27,June,1977,Djibouti,Independence,Djibouti,End of French colonial rule after referendum.,Djiboutians,Hassan Gouled Aptidon,Positive,
1018,Independence from Spain,12,October,1968,Equatorial Guinea,Independence,Equatorial Guinea,Transition from Spanish colony to independence.,Equatoguineans,Francisco Macías Nguema,Positive,
1019,Independence from Britain,29,June,1976,Seychelles,Independence,Seychelles,Became a sovereign state after 162 years of British rule.,Seychellois,"James Mancham, France-Albert René",Positive,
1020,Independence and Unification,1,July,1960,Somalia,Independence/Union,Somalia,Union of British Somaliland and Italian Somaliland.,Somalis,Somali Youth League,Positive,
1021,Independence from Portugal,5,July,1975,Cape Verde,Independence,Cape Verde,Gained independence after the Carnation Revolution in Portugal.,Cape Verdeans,"Amílcar Cabral, PAIGC",Positive,
1022,Independence from Portugal,24,September,1973,Guinea-Bissau,Independence,Guinea-Bissau,"Declared independence, recognized in 1974 after the Carnation Revolution.",Bissau-Guineans,"Amílcar Cabral, PAIGC",Positive,
1023,Independence from France,6,July,1975,Comoros,Independence,Comoros,Gained independence following a referendum.,Comorians,Ahmed Abdallah,Positive,
1024,Independence from Portugal,11,November,1975,Angola,Independence,Angola,Achieved independence following the Carnation Revolution and Alvor Agreement.,Angolans,"MPLA, Agostinho Neto",Positive,
1025,Independence from France,13,August,1960,Central African Republic,Independence,Central African Republic,Transition from French colony to independence.,Central Africans,"Barthélemy Boganda, David Dacko",Positive,
1026,Independence from France,11,August,1960,Chad,Independence,Chad,Gained independence from French colonial rule.,Chadians,François Tombalbaye,Positive,
1027,Independence from Britain,6,July,1964,Malawi,Independence,Malawi,Transition from British protectorate to independent nation.,Malawians,Hastings Banda,Positive,
1028,Independence from Belgium,1,July,1962,Burundi,Independence,Burundi,Gained independence alongside Rwanda from Belgian administration.,Burundians,Mwami Mwambutsa IV,Positive,
1029,Independence from France,15,August,1960,Congo (Brazzaville),Independence,Congo (Brazzaville),Became independent from French colonial empire.,Congolese (Brazzaville),Fulbert Youlou,Positive,
1030,Independence from France,27,April,1960,Togo,Independence,Togo,Transition from French mandate to sovereign state.,Togolese,Sylvanus Olympio,Positive,
1031,Independence from France,7,August,1960,Ivory Coast (Côte d'Ivoire),Independence,Ivory Coast,Marked the end of French colonial rule in Ivory Coast.,Ivorians,Félix Houphouët-Boigny,Positive,
1032,Independence from France,3,August,1960,Niger,Independence,Niger,Gained independence from French colonial administration.,Nigeriens,Hamani Diori,Positive,
1033,Independence from Britain,6,September,1968,Swaziland (Eswatini),Independence,Swaziland,Became independent from British rule.,Swazi,Sobhuza II,Positive,
1034,Independence from France,2,October,1958,Guinea,Independence,Guinea,"First French African colony to gain independence, rejecting the French Community.",Guineans,Ahmed Sékou Touré,Positive,
1035,Movement for Multiparty Democracy,-,-,1991,Zambia,Political,Zambia,Transition from one-party state to multiparty democracy.,Zambians,Frederick Chiluba,Positive,"The Movement for Multi-party Democracy (MMD) also known as New Hope MMD is a political party in Zambia. Originally formed to oust the previous government, MMD controlled an absolute majority in parliament between 1991 and 2001, when its past leader, Frederick Chiluba was President of Zambia. Its election into power in 1991 ended the 27-year rule of President Kenneth Kaunda and his United National Independence Party (UNIP)."
